denver,55.45,0.43,16,0.33,20.25,0.67,661,112,42,263,28.6,50
cleveland-state,54.1,0.41,12.8,0.28,21.9,0.66,689,158,50,289,57.1,40
alabama-birmingham,54.26,0.44,16.11,0.3,17.26,0.67,742,108,57,230,50,42.9
cal-poly,53.35,0.42,18.35,0.34,18.35,0.67,543,106,39,234,27.3,25
njit,57.94,0.41,19.61,0.3,17.33,0.67,618,101,47,216,25,66.7
mount-st-marys,57.44,0.4,22.56,0.29,17.5,0.69,664,98,62,223,62.5,60
texas-am-corpus-christi,51.74,0.41,21.37,0.37,17.05,0.7,670,108,53,238,25,50
tennessee-tech,58.47,0.41,23.37,0.33,11.84,0.65,658,125,59,263,20,40
old-dominion,59.28,0.39,18.11,0.26,15.61,0.69,705,135,60,241,25,50
north-carolina-at,59.05,0.41,18.63,0.29,22.68,0.63,719,152,64,296,75,41.7
merrimack,54.63,0.41,23.74,0.3,13.84,0.69,536,197,49,324,25,16.7
