,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
147,dayton,99,Houston-Baptist,68,69,.594,25,.360,14,.571,36,10,4,11,81.80,57,.386,21,.381,26,.615,28,3,2,17,0
148,Saint-Mary's,68,dayton,78,51,.451,16,.438,19,.789,22,7,1,11,1,52,.538,24,.542,12,.750,32,5,2,15,33.30
149,Drake,47,dayton,78,56,.286,23,.217,15,.667,24,2,1,13,0,55,.491,28,.357,15,.933,40,6,4,14,81.80
150,North-Texas,58,dayton,71,48,.396,19,.474,12,.917,29,4,2,17,0,48,.500,21,.381,24,.625,27,7,0,12,81.80
151,dayton,76,Colorado,78,64,.500,19,.368,7,.714,32,6,4,14,33.30,68,.397,25,.280,21,.810,38,6,2,10,1
152,Grambling,53,dayton,81,56,.393,19,.105,14,.500,25,7,2,11,0,50,.540,19,.421,31,.613,33,4,3,12,81.80
153,dayton,77,North-Florida,59,62,.500,15,.267,17,.647,31,12,4,11,81.80,50,.420,28,.429,14,.357,32,1,6,21,0
154,dayton,84,La-Salle,58,58,.534,15,.333,20,.850,32,9,8,14,33.30,66,.348,17,.176,11,.818,27,5,7,16,1
155,dayton,80,St-Joseph's,67,61,.443,29,.310,18,.944,34,5,4,8,33.30,55,.400,26,.385,22,.591,32,3,5,12,1
156,UMass,60,dayton,88,52,.385,21,.381,15,.800,29,4,5,20,0,70,.514,19,.263,16,.688,38,12,2,11,81.80
157,dayton,79,VCU,65,52,.500,21,.333,25,.800,34,6,4,20,81.80,61,.426,20,.150,17,.588,27,9,2,15,0
158,Saint-Louis,76,dayton,78,60,.450,6,.333,37,.541,43,7,7,17,1,62,.452,25,.360,19,.684,29,8,3,12,33.30
159,dayton,86,St-Bonaventure,60,54,.648,25,.400,11,.545,33,2,3,9,81.80,61,.410,14,.214,12,.583,25,4,0,9,0
160,dayton,87,Richmond,79,54,.537,19,.368,29,.759,41,3,8,14,33.30,69,.391,19,.526,20,.750,31,7,2,4,1
161,wright-state,96,Central-State-(OH),77,70,.529,30,.400,12,.833,37,13,3,16,80.00,69,.420,29,.345,10,.900,30,6,0,16,0
162,wright-state,88,Miami-(OH),81,75,.467,18,.333,20,.600,47,8,4,13,63.60,65,.462,24,.417,15,.733,32,6,8,14,1
163,Tennessee-Tech,80,wright-state,85,65,.477,19,.368,16,.688,30,3,3,13,1,74,.419,29,.310,17,.824,49,5,2,15,63.60
164,wright-state,71,Kent-State,72,62,.419,23,.348,17,.647,30,5,2,13,80.00,55,.455,22,.364,20,.700,35,7,3,17,0
165,wright-state,88,Urbana,51,59,.559,20,.500,18,.667,38,11,4,12,80.00,56,.357,25,.280,8,.500,24,8,1,19,0
166,Weber-State,57,wright-state,72,60,.367,21,.238,9,.889,31,4,3,13,1,58,.483,17,.294,14,.786,33,7,2,7,63.60
167,La-Salle,72,wright-state,70,60,.450,21,.429,14,.643,31,3,0,16,1,55,.400,27,.333,29,.586,32,9,3,12,63.60
168,wright-state,71,Miami-(OH),66,57,.421,19,.263,30,.600,39,5,2,8,63.60,67,.358,26,.269,20,.550,43,2,2,11,1
169,Western-Kentucky,74,wright-state,76,66,.485,15,.400,7,.571,33,4,6,14,0,66,.424,25,.240,20,.700,38,6,4,11,80.00
170,wright-state,77,Indiana-State,84,71,.408,28,.357,13,.692,31,6,2,12,80.00,70,.486,22,.409,8,.875,44,5,6,20,0
